Name,Name,Data Center Name,Pod,Release,Environment Status,Deployed App Name,Version
ACCENTURE LLP  US SUPPLIERS,ACCENTURE LLP  US SUPPLIERS,us-phoenix-1,EVFC,Revision 13.22.10,Customer Active,fusion-common,2210.0.107
ACCENTURE LLP  US SUPPLIERS,ACCENTURE LLP  US SUPPLIERS,us-phoenix-1,EVFC,Revision 13.22.10,Customer Active,sales-common,2210.0.120
ACCENTURE LLP  US SUPPLIERS,ACCENTURE LLP  US SUPPLIERS,us-phoenix-1,EVFC-TEST,Revision 13.22.10,Customer Active,fusion-common,2210.0.107
ACCENTURE LLP  US SUPPLIERS,ACCENTURE LLP  US SUPPLIERS,us-phoenix-1,EVFC-TEST,Revision 13.22.10,Customer Active,sales-common,2210.0.120
AEGON Nederland NV,AEGON Nederland NV,eu-frankfurt-1,EQVF,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AEGON Nederland NV,AEGON Nederland NV,eu-frankfurt-1,EQVF-DEV1,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AEGON Nederland NV,AEGON Nederland NV,eu-frankfurt-1,EQVF-TEST,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AGEA - Agenzia per le Erogazioni in Agricoltura,AGEA - Agenzia per le Erogazioni in Agricoltura,eu-frankfurt-1,EVOJ,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AGEA - Agenzia per le Erogazioni in Agricoltura,AGEA - Agenzia per le Erogazioni in Agricoltura,eu-frankfurt-1,EVOJ-DEV1,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AGEA - Agenzia per le Erogazioni in Agricoltura,AGEA - Agenzia per le Erogazioni in Agricoltura,eu-frankfurt-1,EVOJ-TEST,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AGSM AIM S.P.A.,AGSM AIM S.P.A.,eu-frankfurt-1,EWCI,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
AGSM AIM S.P.A.,AGSM AIM S.P.A.,eu-frankfurt-1,EWCI-TEST,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
"AIRTEX PRODUCTS, S.A.","AIRTEX PRODUCTS, S.A.",eu-frankfurt-1,EUMN,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
"AIRTEX PRODUCTS, S.A.","AIRTEX PRODUCTS, S.A.",eu-frankfurt-1,EUMN-TEST,Revision 13.23.01,Customer Active,fusion-common,2301.0.105
